"","samplingYear","SpeciesRichness","ShannonIndex","SimpsonIndex","site","Park"
"51","2009",13,1.8,"PYBR","NCRN_ROCR_PYBR","ROCR"
"52","2019",6,0.87,"PYBR","NCRN_ROCR_PYBR","ROCR"
"53","2008",6,0.52,"R630","NCRN_ROCR_R630","ROCR"
"54","2019",5,1.01,"R630","NCRN_ROCR_R630","ROCR"
"55","2008",2,0.45,"LUBR","NCRN_ROCR_LUBR","ROCR"
"56","2019",5,1.51,"LUBR","NCRN_ROCR_LUBR","ROCR"
"57","2004",14,1.57,"WOTR","NCRN_WOTR_WOTR","WOTR"
"58","2006",16,1.85,"WOTR","NCRN_WOTR_WOTR","WOTR"
"59","2012",20,2.26,"WOTR","NCRN_WOTR_WOTR","WOTR"
"60","2022",14,1.87,"WOTR","NCRN_WOTR_WOTR","WOTR"
"61","2008",4,0.23,"SVPS","NCRN_ROCR_SVPS","ROCR"
"62","2009",1,0,"BAKE","NCRN_ROCR_BAKE","ROCR"
"63","2022",3,0.45,"BAKE","NCRN_ROCR_BAKE","ROCR"
"64","2006",1,0,"OXRU","NCRN_NACE_OXRU","NACE"
"65","2013",17,1.4,"OXRU","NCRN_NACE_OXRU","NACE"
"66","2022",18,1.81,"OXRU","NCRN_NACE_OXRU","NACE"
"67","2004",17,1.67,"ACCK","NCRN_NACE_ACCK","NACE"
"68","2013",11,2.21,"ACCK","NCRN_NACE_ACCK","NACE"
"69","2013",15,2,"HECR","NCRN_NACE_HECR","NACE"
"70","2022",17,2.12,"HECR","NCRN_NACE_HECR","NACE"
"71","2004",15,1.93,"STCK","NCRN_NACE_STCK","NACE"
"72","2013",16,2.27,"STCK","NCRN_NACE_STCK","NACE"
"73","2022",17,2.07,"STCK","NCRN_NACE_STCK","NACE"
"74","2004",4,0.7,"SHCK","NCRN_ANTI_SHCK","ANTI"
"75","2006",4,0.63,"SHCK","NCRN_ANTI_SHCK","ANTI"
"76","2013",2,0.32,"SHCK","NCRN_ANTI_SHCK","ANTI"
"77","2022",10,0.75,"SHCK","NCRN_ANTI_SHCK","ANTI"
"78","2011",10,1.76,"TARU","NCRN_PRWI_TARU","PRWI"
"79","2021",4,1.01,"TARU","NCRN_PRWI_TARU","PRWI"
"80","2011",2,0.35,"CARU","NCRN_PRWI_CARU","PRWI"
"81","2021",8,1.38,"CARU","NCRN_PRWI_CARU","PRWI"
"82","2012",10,1.34,"CHCK","NCRN_WOTR_CHCK","WOTR"
"83","2022",16,1.65,"CHCK","NCRN_WOTR_CHCK","WOTR"
"84","2011",1,0,"MARU","NCRN_PRWI_MARU","PRWI"
"85","2021",2,0.15,"MARU","NCRN_PRWI_MARU","PRWI"
"86","2009",3,0.4,"DUOA","NCRN_ROCR_DUOA","ROCR"
"87","2019",4,0.65,"DUOA","NCRN_ROCR_DUOA","ROCR"
"88","2004",13,1.89,"ROC3","NCRN_ROCR_ROC3","ROCR"
"89","2022",13,1.26,"ROC3","NCRN_ROCR_ROC3","ROCR"
"90","2009",1,0,"NOST","NCRN_ROCR_NOST","ROCR"
"91","2019",3,0.54,"NOST","NCRN_ROCR_NOST","ROCR"
"92","2011",1,0,"ORRU","NCRN_PRWI_ORRU","PRWI"
"93","2009",3,0.3,"KLVA","NCRN_ROCR_KLVA","ROCR"
"94","2019",3,0.89,"KLVA","NCRN_ROCR_KLVA","ROCR"
"95","2021",5,0.69,"BONE","NCRN_PRWI_BONE","PRWI"
"96","2004",12,1.66,"ISCR","NCRN_CHOH_ISCR","CHOH"
"97","2004",10,0.83,"GRSR","NCRN_CHOH_GRSR","CHOH"
"98","2004",15,1.68,"CABR","NCRN_CHOH_CABR","CHOH"
"99","2004",22,2.33,"SVSR","NCRN_CHOH_SVSR","CHOH"
"100","2004",22,2.34,"MUBR","NCRN_CHOH_MUBR","CHOH"
"101","2004",9,1.28,"ELRD","NCRN_HAFE_ELRD","HAFE"
"102","2004",10,1.72,"ELRU","NCRN_HAFE_ELRU","HAFE"
"103","2004",25,2.19,"SGAM","NCRN_MONO_SGAM","MONO"
