"","project","park","site","Year","Species","No","No.se","No.LCI","No.UCI","p","p.se","p.LCI","p.UCI"
"31","NCRN","GWMP","PIRU","2012","Anguilla rostrata",27.56,2.09,23.46,31.66,0.76,0.12,0.53,0.99
"32","NCRN","GWMP","PIRU","2022","Anguilla rostrata",46.29,21.76,3.64,88.94,0.39,0.23,-0.07,0.85
"33","NCRN","GWMP","PIRU","2004","Catostomus commersonnii",218.92,41.67,137.25,300.58,0.41,0.1,0.21,0.61
"34","NCRN","GWMP","PIRU","2006","Catostomus commersonnii",1,0,1,1,1,0,1,1
"35","NCRN","GWMP","PIRU","2012","Catostomus commersonnii",8.33,2.94,2.57,14.1,0.6,0.33,-0.06,1.26
"36","NCRN","GWMP","PIRU","2004","Clinostomus funduloides",55.31,2.35,50.7,59.93,0.8,0.07,0.65,0.94
"38","NCRN","GWMP","PIRU","2004","Lepomis auritus",4,0,4,4,1,0,1,1
"40","NCRN","GWMP","PIRU","2012","Lepomis auritus",49,151.43,-247.8,345.8,0.14,0.48,-0.79,1.08
"41","NCRN","GWMP","PIRU","2004","Rhinichthys atratulus",848.99,36.35,777.74,920.24,0.56,0.04,0.49,0.63
"42","NCRN","GWMP","PIRU","2006","Rhinichthys atratulus",49,3.76,41.64,56.36,0.71,0.1,0.51,0.92
"43","NCRN","GWMP","PIRU","2012","Rhinichthys atratulus",90.25,8.16,74.26,106.24,0.63,0.09,0.45,0.82
"45","NCRN","GWMP","PIRU","2004","Rhinichthys cataractae",484.28,35.74,414.24,554.33,0.51,0.05,0.41,0.62
"46","NCRN","GWMP","PIRU","2006","Rhinichthys cataractae",30.77,4.3,22.33,39.21,0.65,0.15,0.35,0.95
"47","NCRN","GWMP","PIRU","2012","Rhinichthys cataractae",57.6,20.71,17,98.2,0.42,0.2,0.03,0.8
"48","NCRN","GWMP","PIRU","2022","Rhinichthys cataractae",43.56,5.33,33.11,54,0.64,0.13,0.38,0.9
"49","NCRN","GWMP","PIRU","2004","Semotilus atromaculatus",189.39,56.01,79.61,299.17,0.35,0.13,0.1,0.6
"50","NCRN","GWMP","PIRU","2006","Semotilus atromaculatus",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"51","NCRN","GWMP","PIRU","2012","Semotilus atromaculatus",22.5,3.35,15.93,29.07,0.67,0.17,0.33,1
"52","NCRN","GWMP","PIRU","2022","Semotilus atromaculatus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"54","NCRN","GWMP","MIRU","2012","Ameiurus natalis",1,0,1,1,1,0,1,1
"56","NCRN","GWMP","MIRU","2004","Anguilla rostrata",7.2,0.63,5.96,8.44,0.83,0.18,0.48,1.19
"57","NCRN","GWMP","MIRU","2012","Anguilla rostrata",3,0,3,3,1,0,1,1
"58","NCRN","GWMP","MIRU","2022","Anguilla rostrata",7,0,7,7,1,0,1,1
"60","NCRN","GWMP","MIRU","2004","Campostoma anomalum",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"61","NCRN","GWMP","MIRU","2012","Campostoma anomalum",29.39,1.88,25.71,33.07,0.78,0.11,0.57,0.99
"63","NCRN","GWMP","MIRU","2004","Catostomus commersonnii",14.29,2.21,9.96,18.61,0.7,0.2,0.31,1.09
"64","NCRN","GWMP","MIRU","2012","Catostomus commersonnii",21.33,1.99,17.44,25.23,0.75,0.14,0.48,1.02
"65","NCRN","GWMP","MIRU","2004","Clinostomus funduloides",13.5,2.6,8.41,18.59,0.67,0.22,0.23,1.1
"66","NCRN","GWMP","MIRU","2004","Cottus girardi",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"67","NCRN","GWMP","MIRU","2022","Crayfish",37.5,18.37,1.49,73.51,0.4,0.25,-0.1,0.9
"68","NCRN","GWMP","MIRU","2012","Cyprinella spiloptera",16,6.93,2.42,29.58,0.5,0.31,-0.1,1.1
"69","NCRN","GWMP","MIRU","2004","Erimyzon oblongus",1,0,1,1,1,0,1,1
"70","NCRN","GWMP","MIRU","2012","Etheostoma blennioides",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"72","NCRN","GWMP","MIRU","2022","Etheostoma flabellare",40.5,63,-82.98,163.98,0.22,0.39,-0.55,0.99
"73","NCRN","GWMP","MIRU","2022","Eurycea bislineata",63,35.5,-6.57,132.57,0.33,0.23,-0.12,0.78
"74","NCRN","GWMP","MIRU","2022","Faxonius virilis",2,0,2,2,1,0,1,1
"75","NCRN","GWMP","MIRU","2012","Hypentelium nigricans",1,0,1,1,1,0,1,1
"76","NCRN","GWMP","MIRU","2004","Lepomis auritus",16.9,1.56,13.84,19.96,0.77,0.15,0.48,1.06
"78","NCRN","GWMP","MIRU","2022","Lepomis auritus",1,0,1,1,1,0,1,1
"79","NCRN","GWMP","MIRU","2004","Lepomis cyanellus",14.29,2.21,9.96,18.61,0.7,0.2,0.31,1.09
"80","NCRN","GWMP","MIRU","2012","Lepomis cyanellus",1,0,1,1,1,0,1,1
"81","NCRN","GWMP","MIRU","2022","Lepomis cyanellus",21.33,16.02,-10.07,52.74,0.38,0.36,-0.32,1.07
"82","NCRN","GWMP","MIRU","2004","Lepomis macrochirus",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"83","NCRN","GWMP","MIRU","2012","Lepomis macrochirus",16,6.93,2.42,29.58,0.5,0.31,-0.1,1.1
"85","NCRN","GWMP","MIRU","2004","Luxilus cornutus",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"86","NCRN","GWMP","MIRU","2012","Luxilus cornutus",4,0,4,4,1,0,1,1
"88","NCRN","GWMP","MIRU","2004","Micropterus salmoides",24.5,5.87,13,36,0.57,0.21,0.16,0.98
"89","NCRN","GWMP","MIRU","2012","Micropterus salmoides",1,0,1,1,1,0,1,1
"90","NCRN","GWMP","MIRU","2004","Moxostoma erythrurum",2,0,2,2,1,0,1,1
"92","NCRN","GWMP","MIRU","2012","Nocomis micropogon",1,0,1,1,1,0,1,1
"94","NCRN","GWMP","MIRU","2012","Pimephales notatus",13.44,0.98,11.53,15.36,0.82,0.14,0.54,1.09
"96","NCRN","GWMP","MIRU","2004","Rhinichthys atratulus",116.26,31.57,54.39,178.14,0.4,0.14,0.13,0.68
"97","NCRN","GWMP","MIRU","2012","Rhinichthys atratulus",47.37,5.85,35.9,58.84,0.63,0.13,0.38,0.89
"99","NCRN","GWMP","MIRU","2004","Rhinichthys cataractae",53.78,20.89,12.84,94.72,0.41,0.21,0,0.81
"100","NCRN","GWMP","MIRU","2012","Rhinichthys cataractae",14.4,0.9,12.64,16.16,0.83,0.13,0.58,1.08
"102","NCRN","GWMP","MIRU","2004","Semotilus atromaculatus",9.8,1.68,6.51,13.09,0.71,0.23,0.27,1.16
"103","NCRN","GWMP","MIRU","2012","Semotilus atromaculatus",32,2.43,27.23,36.77,0.75,0.11,0.53,0.97
"105","NCRN","GWMP","MIRU","2012","Semotilus corporalis",26.67,2.22,22.31,31.02,0.75,0.12,0.51,0.99
"106","NCRN","HAFE","FLSP","2013","Ameiurus natalis",1,0,1,1,1,0,1,1
"108","NCRN","HAFE","FLSP","2004","Anguilla rostrata",1,0,1,1,1,0,1,1
"110","NCRN","HAFE","FLSP","2022","Campostoma anomalum",1,0,1,1,1,0,1,1
"111","NCRN","HAFE","FLSP","2004","Catostomus commersonnii",3,0,3,3,1,0,1,1
"112","NCRN","HAFE","FLSP","2004","Cyprinella spiloptera",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"113","NCRN","HAFE","FLSP","2004","Etheostoma blennioides",1,0,1,1,1,0,1,1
"115","NCRN","HAFE","FLSP","2022","Etheostoma blennioides",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"116","NCRN","HAFE","FLSP","2022","Eurycea bislineata",1,0,1,1,1,0,1,1
"117","NCRN","HAFE","FLSP","2022","Faxonius sp.",84.5,175.14,-258.77,427.77,0.15,0.35,-0.53,0.83
"118","NCRN","HAFE","FLSP","2022","Faxonius virilis",9.8,1.68,6.51,13.09,0.71,0.23,0.27,1.16
"119","NCRN","HAFE","FLSP","2004","Gambusia affinis",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"120","NCRN","HAFE","FLSP","2004","Lepomis cyanellus",9,2.12,4.84,13.16,0.67,0.27,0.13,1.2
"121","NCRN","HAFE","FLSP","2004","Lepomis gibbosus",3,0,3,3,1,0,1,1
"123","NCRN","HAFE","FLSP","2004","Nocomis micropogon",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"124","NCRN","HAFE","FLSP","2013","Nocomis micropogon",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"125","NCRN","HAFE","FLSP","2022","Nocomis micropogon",108.76,7.19,94.67,122.84,0.67,0.08,0.52,0.82
"126","NCRN","HAFE","FLSP","2004","Pimephales notatus",122.28,10.48,101.74,142.83,0.61,0.08,0.45,0.78
"128","NCRN","HAFE","FLSP","2013","Rhinichthys cataractae",54.76,4.97,45.01,64.51,0.68,0.11,0.46,0.89
"129","NCRN","HAFE","FLSP","2022","Rhinichthys cataractae",484,3029.54,-5453.78,6421.78,0.05,0.29,-0.53,0.62
"130","NCRN","CATO","BLBZ","2022","Cambarus bartonii",41.29,18.03,5.95,76.62,0.41,0.23,-0.05,0.87
"131","NCRN","CATO","BLBZ","2022","Cottus caeruleomentum",66.67,45.35,-22.22,155.55,0.3,0.24,-0.18,0.78
"134","NCRN","CATO","BLBZ","2022","Rhinichthys atratulus",207.78,8.06,191.99,223.57,0.71,0.05,0.61,0.81
"136","NCRN","CATO","BLBZ","2022","Salmo trutta",4,0,4,4,1,0,1,1
"137","NCRN","CATO","OWCK","2022","Cambarus bartonii",192,109.98,-23.56,407.56,0.25,0.17,-0.07,0.57
"138","NCRN","CATO","OWCK","2010","Cottus caeruleomentum",220.17,27.7,165.88,274.47,0.49,0.09,0.32,0.65
"139","NCRN","CATO","OWCK","2022","Cottus caeruleomentum",403.1,22.39,359.22,446.99,0.58,0.05,0.48,0.68
"140","NCRN","CATO","OWCK","2010","Etheostoma flabellare",32.82,6.53,20.02,45.61,0.58,0.18,0.23,0.93
"141","NCRN","CATO","OWCK","2022","Etheostoma flabellare",52.94,8.85,35.6,70.29,0.57,0.14,0.28,0.85
"144","NCRN","CATO","OWCK","2022","Pseudotriton ruber",1,0,1,1,1,0,1,1
"145","NCRN","CATO","OWCK","2010","Rhinichthys atratulus",450.78,15.49,420.42,481.14,0.66,0.04,0.58,0.74
"146","NCRN","CATO","OWCK","2022","Rhinichthys atratulus",529.6,15.44,499.34,559.86,0.68,0.03,0.61,0.74
"147","NCRN","CATO","OWCK","2010","Rhinichthys cataractae",21.33,16.02,-10.07,52.74,0.38,0.36,-0.32,1.07
"148","NCRN","CATO","OWCK","2022","Rhinichthys cataractae",5,0,5,5,1,0,1,1
"149","NCRN","CATO","OWCK","2010","Salvelinus fontinalis",17,0,17,17,1,0,1,1
"150","NCRN","CATO","OWCK","2022","Salvelinus fontinalis",64.29,16.61,31.73,96.84,0.47,0.17,0.14,0.79
"151","NCRN","CATO","OWCK","2022","Semotilus atromaculatus",27,23.24,-18.55,72.55,0.33,0.35,-0.36,1.02
"153","NCRN","CATO","BGHC","2022","Cambarus bartonii",36.57,14.69,7.77,65.37,0.44,0.23,-0.02,0.9
"155","NCRN","CATO","BGHC","2010","Cottus caeruleomentum",160,21.91,117.06,202.94,0.5,0.1,0.31,0.69
"156","NCRN","CATO","BGHC","2022","Cottus caeruleomentum",233.33,15.56,202.85,263.82,0.6,0.06,0.48,0.72
"157","NCRN","CATO","BGHC","2010","Etheostoma flabellare",9.8,1.68,6.51,13.09,0.71,0.23,0.27,1.16
"158","NCRN","CATO","BGHC","2022","Etheostoma flabellare",20.25,10.52,-0.38,40.88,0.44,0.31,-0.16,1.05
"160","NCRN","CATO","BGHC","2022","Fundulus diaphanus",2,0,2,2,1,0,1,1
"161","NCRN","CATO","BGHC","2010","Oncorhynchus mykiss",2,0,2,2,1,0,1,1
"162","NCRN","CATO","BGHC","2022","Oncorhynchus mykiss",1,0,1,1,1,0,1,1
"163","NCRN","CATO","BGHC","2006","Rhinichthys atratulus",20.64,1.16,18.36,22.92,0.82,0.11,0.61,1.04
"164","NCRN","CATO","BGHC","2010","Rhinichthys atratulus",96.8,21.77,54.13,139.47,0.45,0.14,0.18,0.73
"165","NCRN","CATO","BGHC","2022","Rhinichthys atratulus",146.68,4.99,136.9,156.46,0.76,0.05,0.65,0.86
"166","NCRN","CATO","BGHC","2010","Rhinichthys cataractae",84,15.87,52.89,115.11,0.5,0.13,0.24,0.76
"167","NCRN","CATO","BGHC","2022","Rhinichthys cataractae",32.89,2.31,28.36,37.43,0.76,0.11,0.55,0.97
"168","NCRN","CATO","BGHC","2006","Salmo trutta",46.55,4.28,38.15,54.94,0.69,0.11,0.47,0.91
"169","NCRN","CATO","BGHC","2022","Salmo trutta",26.27,4.04,18.35,34.2,0.65,0.17,0.32,0.98
"170","NCRN","CATO","BGHC","2006","Salvelinus fontinalis",11,0,11,11,1,0,1,1
"171","NCRN","CATO","BGHC","2010","Salvelinus fontinalis",21.33,1.99,17.44,25.23,0.75,0.14,0.48,1.02
"172","NCRN","PRWI","MBCH","2004","Anguilla rostrata",1,0,1,1,1,0,1,1
"173","NCRN","PRWI","MBCH","2011","Catostomus commersonnii",12.5,10.61,-8.29,33.29,0.4,0.44,-0.46,1.26
"175","NCRN","PRWI","MBCH","2004","Erimyzon oblongus",11.57,1.22,9.18,13.96,0.78,0.17,0.44,1.12
"176","NCRN","PRWI","MBCH","2011","Erimyzon oblongus",49,151.43,-247.8,345.8,0.14,0.48,-0.79,1.08
"177","NCRN","PRWI","MBCH","2004","Esox niger",3,0,3,3,1,0,1,1
"178","NCRN","PRWI","MBCH","2004","Etheostoma olmstedi",5,0,5,5,1,0,1,1
"179","NCRN","PRWI","MBCH","2011","Etheostoma olmstedi",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"180","NCRN","PRWI","MBCH","2004","Exoglossum maxillingua",1,0,1,1,1,0,1,1
"182","NCRN","PRWI","MBCH","2004","Lepomis auritus",27,3.67,19.8,34.2,0.67,0.16,0.36,0.97
"183","NCRN","PRWI","MBCH","2011","Lepomis auritus",84.5,175.14,-258.77,427.77,0.15,0.35,-0.53,0.83
"186","NCRN","PRWI","MBCH","2004","Noturus insignis",18.29,0.69,16.93,19.64,0.88,0.09,0.69,1.06
"187","NCRN","PRWI","MBCH","2011","Noturus insignis",60.5,110.69,-156.44,277.44,0.18,0.37,-0.54,0.9
"188","NCRN","PRWI","MBCH","2004","Rhinichthys atratulus",10.12,0.44,9.25,11,0.89,0.12,0.66,1.12
"189","NCRN","PRWI","MBCH","2011","Rhinichthys atratulus",8.33,2.94,2.57,14.1,0.6,0.33,-0.06,1.26
"190","NCRN","PRWI","MBCH","2004","Semotilus corporalis",1,0,1,1,1,0,1,1
"191","NCRN","PRWI","MBCH","2011","Semotilus corporalis",28.17,11.3,6.01,50.32,0.46,0.25,-0.03,0.96
"193","NCRN","PRWI","NFQC","2021","Anguilla rostrata",17.29,3.48,10.47,24.1,0.64,0.21,0.22,1.05
"194","NCRN","PRWI","NFQC","2021","Catostomus commersonnii",2,0,2,2,1,0,1,1
"195","NCRN","PRWI","NFQC","2011","Clinostomus funduloides",2,0,2,2,1,0,1,1
"197","NCRN","PRWI","NFQC","2011","Exoglossum maxillingua",8,0,8,8,1,0,1,1
"199","NCRN","PRWI","NFQC","2021","Lepomis auritus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"201","NCRN","PRWI","NFQC","2021","Lepomis cyanellus",1,0,1,1,1,0,1,1
"202","NCRN","PRWI","NFQC","2011","Noturus insignis",1,0,1,1,1,0,1,1
"203","NCRN","PRWI","NFQC","2021","Noturus insignis",3,0,3,3,1,0,1,1
"204","NCRN","PRWI","NFQC","2011","Rhinichthys atratulus",14.4,0.9,12.64,16.16,0.83,0.13,0.58,1.08
"206","NCRN","PRWI","NFQC","2011","Semotilus atromaculatus",3,0,3,3,1,0,1,1
"208","NCRN","PRWI","NFQC","2011","Semotilus corporalis",15.12,1.93,11.34,18.91,0.73,0.18,0.38,1.08
"209","NCRN","PRWI","NFQC","2021","Semotilus corporalis",20.64,1.16,18.36,22.92,0.82,0.11,0.61,1.04
"210","NCRN","PRWI","SFQC","2021","Anguilla rostrata",72,6,60.24,83.76,0.67,0.1,0.48,0.86
"213","NCRN","PRWI","SFQC","2021","Exoglossum maxillingua",48,54.99,-59.78,155.78,0.25,0.33,-0.4,0.9
"215","NCRN","PRWI","SFQC","2021","Lepomis cyanellus",12.25,4.15,4.12,20.38,0.57,0.3,-0.01,1.15
"216","NCRN","PRWI","SFQC","2021","Lepomis macrochirus",1,0,1,1,1,0,1,1
"217","NCRN","PRWI","SFQC","2021","Noturus insignis",77.88,10.12,58.05,97.72,0.58,0.12,0.35,0.8
"221","NCRN","PRWI","MBBR","2011","Anguilla rostrata",2,0,2,2,1,0,1,1
"222","NCRN","PRWI","MBBR","2021","Anguilla rostrata",20.57,5.05,10.68,30.47,0.58,0.22,0.15,1.02
"224","NCRN","PRWI","MBBR","2011","Clinostomus funduloides",20.25,10.52,-0.38,40.88,0.44,0.31,-0.16,1.05
"225","NCRN","PRWI","MBBR","2021","Clinostomus funduloides",52,12.49,27.52,76.48,0.5,0.17,0.17,0.83
"227","NCRN","PRWI","MBBR","2011","Exoglossum maxillingua",1,0,1,1,1,0,1,1
"228","NCRN","PRWI","MBBR","2021","Exoglossum maxillingua",11.57,1.22,9.18,13.96,0.78,0.17,0.44,1.12
"229","NCRN","PRWI","MBBR","2011","Lepomis auritus",1,0,1,1,1,0,1,1
"230","NCRN","PRWI","MBBR","2021","Lepomis auritus",2,0,2,2,1,0,1,1
"231","NCRN","PRWI","MBBR","2021","Luxilus cornutus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"234","NCRN","PRWI","MBBR","2021","Rhinichthys atratulus",82.29,53.32,-22.21,186.78,0.29,0.22,-0.15,0.73
"236","NCRN","PRWI","MBBR","2021","Semotilus atromaculatus",32.67,14.59,4.07,61.27,0.43,0.25,-0.07,0.92
"238","NCRN","PRWI","MBBR","2021","Semotilus corporalis",16.33,10.32,-3.89,36.56,0.43,0.36,-0.27,1.13
"239","NCRN","PRWI","SORU","2021","Anguilla rostrata",18,3,12.12,23.88,0.67,0.19,0.29,1.04
"240","NCRN","PRWI","SORU","2021","Catostomus commersonnii",16.33,10.32,-3.89,36.56,0.43,0.36,-0.27,1.13
"241","NCRN","PRWI","SORU","2021","Clinostomus funduloides",21.6,1.1,19.44,23.76,0.83,0.1,0.63,1.04
"242","NCRN","PRWI","SORU","2021","Etheostoma olmstedi",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"243","NCRN","PRWI","SORU","2021","Exoglossum maxillingua",15.12,1.93,11.34,18.91,0.73,0.18,0.38,1.08
"244","NCRN","PRWI","SORU","2021","Lepomis auritus",24.5,30.31,-34.91,83.91,0.29,0.42,-0.53,1.11
"245","NCRN","PRWI","SORU","2021","Luxilus cornutus",18,18.97,-19.19,55.19,0.33,0.43,-0.51,1.18
"247","NCRN","PRWI","SORU","2021","Rhinichthys atratulus",50,84.85,-116.31,216.31,0.2,0.38,-0.54,0.94
"248","NCRN","PRWI","SORU","2021","Semotilus atromaculatus",33.8,19.06,-3.56,71.16,0.38,0.28,-0.16,0.93
"249","NCRN","PRWI","SORU","2021","Semotilus corporalis",35.27,4.55,26.34,44.19,0.65,0.14,0.37,0.93
"250","NCRN","MONO","BUCK","2010","Ambloplites rupestris",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"251","NCRN","MONO","BUCK","2022","Ambloplites rupestris",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"252","NCRN","MONO","BUCK","2004","Ameiurus natalis",36,99.5,-159.01,231.01,0.17,0.5,-0.82,1.16
"253","NCRN","MONO","BUCK","2010","Ameiurus natalis",25,15,-4.4,54.4,0.4,0.31,-0.21,1.01
"254","NCRN","MONO","BUCK","2022","Ameiurus natalis",1,0,1,1,1,0,1,1
"255","NCRN","MONO","BUCK","2004","Campostoma anomalum",132.25,6.89,118.75,145.75,0.7,0.07,0.57,0.82
"256","NCRN","MONO","BUCK","2010","Campostoma anomalum",385.94,5.87,374.43,397.46,0.8,0.03,0.75,0.86
"257","NCRN","MONO","BUCK","2022","Campostoma anomalum",10.67,1.41,7.91,13.42,0.75,0.2,0.36,1.14
"258","NCRN","MONO","BUCK","2022","Catostomus commersonii",31.15,0.44,30.28,32.02,0.93,0.05,0.83,1.03
"259","NCRN","MONO","BUCK","2004","Catostomus commersonnii",33.06,3.44,26.31,39.81,0.7,0.13,0.44,0.95
"260","NCRN","MONO","BUCK","2010","Catostomus commersonnii",168,22.45,124,212,0.5,0.09,0.31,0.69
"263","NCRN","MONO","BUCK","2010","Cottus caeruleomentum",484.63,29.42,426.97,542.29,0.55,0.05,0.45,0.65
"264","NCRN","MONO","BUCK","2022","Cottus caeruleomentum",61.36,3.74,54.03,68.7,0.73,0.09,0.56,0.9
"265","NCRN","MONO","BUCK","2004","Cottus girardi",115.6,11.66,92.75,138.45,0.59,0.09,0.41,0.77
"266","NCRN","MONO","BUCK","2010","Cottus girardi",125,134.16,-137.96,387.96,0.2,0.24,-0.27,0.67
"267","NCRN","MONO","BUCK","2022","Cottus girardi",22.23,1.84,18.62,25.84,0.76,0.13,0.51,1.02
"268","NCRN","MONO","BUCK","2010","Cyprinella analostana",6,0,6,6,1,0,1,1
"269","NCRN","MONO","BUCK","2004","Cyprinella spiloptera",33.14,0.42,32.31,33.97,0.94,0.05,0.84,1.03
"270","NCRN","MONO","BUCK","2022","Cyprinella spiloptera",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"271","NCRN","MONO","BUCK","2004","Etheostoma blennioides",49,151.43,-247.8,345.8,0.14,0.48,-0.79,1.08
"272","NCRN","MONO","BUCK","2010","Etheostoma blennioides",117.04,24.16,69.68,164.4,0.45,0.13,0.21,0.7
"273","NCRN","MONO","BUCK","2022","Etheostoma blennioides",61.54,6.09,49.61,73.47,0.65,0.11,0.44,0.86
"274","NCRN","MONO","BUCK","2004","Etheostoma caeruleum",2,0,2,2,1,0,1,1
"275","NCRN","MONO","BUCK","2010","Etheostoma caeruleum",116.74,15.16,87.02,146.45,0.54,0.1,0.34,0.74
"276","NCRN","MONO","BUCK","2022","Etheostoma caeruleum",176.4,26.13,125.18,227.62,0.48,0.1,0.29,0.67
"277","NCRN","MONO","BUCK","2004","Etheostoma flabellare",6,0,6,6,1,0,1,1
"278","NCRN","MONO","BUCK","2010","Etheostoma flabellare",37.5,18.37,1.49,73.51,0.4,0.25,-0.1,0.9
"279","NCRN","MONO","BUCK","2022","Etheostoma flabellare",90,42.43,6.85,173.15,0.33,0.19,-0.04,0.71
"281","NCRN","MONO","BUCK","2010","Etheostoma olmstedi",30.08,4.71,20.85,39.31,0.63,0.16,0.31,0.95
"282","NCRN","MONO","BUCK","2022","Etheostoma olmstedi",8,4.9,-1.6,17.6,0.5,0.43,-0.35,1.35
"284","NCRN","MONO","BUCK","2022","Faxonius sp.",208.04,6.6,195.1,220.97,0.74,0.05,0.65,0.83
"285","NCRN","MONO","BUCK","2022","Faxonius virilis",68.76,10.86,47.47,90.05,0.55,0.13,0.3,0.81
"286","NCRN","MONO","BUCK","2010","Hypentelium nigricans",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"287","NCRN","MONO","BUCK","2004","Lepomis auritus",46.29,21.76,3.64,88.94,0.39,0.23,-0.07,0.85
"288","NCRN","MONO","BUCK","2010","Lepomis auritus",28.57,3.12,22.45,34.69,0.7,0.14,0.43,0.97
"289","NCRN","MONO","BUCK","2022","Lepomis auritus",12.5,1.08,10.38,14.62,0.8,0.15,0.5,1.1
"290","NCRN","MONO","BUCK","2004","Lepomis cyanellus",36,99.5,-159.01,231.01,0.17,0.5,-0.82,1.16
"292","NCRN","MONO","BUCK","2022","Lepomis cyanellus",2,0,2,2,1,0,1,1
"293","NCRN","MONO","BUCK","2004","Lepomis macrochirus",6.25,0.77,4.75,7.75,0.8,0.22,0.37,1.23
"295","NCRN","MONO","BUCK","2022","Lepomis macrochirus",1,0,1,1,1,0,1,1
"296","NCRN","MONO","BUCK","2004","Lepomis megalotis",1,0,1,1,1,0,1,1
"299","NCRN","MONO","BUCK","2022","Micropterus dolomieu",16,31.75,-46.23,78.23,0.25,0.57,-0.87,1.37
"300","NCRN","MONO","BUCK","2004","Micropterus salmoides",1,0,1,1,1,0,1,1
"301","NCRN","MONO","BUCK","2022","Nocomis leptocephalus",1,0,1,1,1,0,1,1
